Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Poss_x,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Age,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG_x,Expected_npxG_x,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_y,Expected_npxG_y,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,League
15,Brentford,27,7,5,15,39,50,-11,26,0.96,43.0,41.1,1.8,0.07,45.0,15253,2096,5793,5974,3613,688,15250,398,158,39.7,193,48.5,7801,40077,20654,342,238,110,384,188,9056,919,27.4,38,24,62,35,3,3,61,1,43.0,40.8,30.0,70.8,342,920,38,340,111,32.6,12.59,4.11,0.1,0.32,15.1,12,3,3,43.0,40.8,0.12,-5.0,-5.8,9156,12152,75.3,163945,62324,4072,4791,85.0,3879,4715,82.3,981,1978,49.6,24,30.0,28.6,-6.0,227,692,228,75,920,568,21.04,396,66,20,45,30,11,54,2.0,35,5,1,7,6,0,489,291,255,180,54,230,507,45.4,277,316,92,224,274,763,649,13,EPL
16,Everton,27,8,7,12,29,37,-8,25,0.93,40.7,36.9,3.9,0.14,39.8,14090,1751,4749,5778,3707,573,14089,393,180,45.8,187,47.6,6925,37083,18456,358,283,90,403,239,7853,791,27.5,29,14,43,29,0,1,57,1,40.7,40.0,29.7,69.6,358,799,29,373,115,30.8,13.81,4.26,0.08,0.25,16.5,9,0,1,40.7,40.0,0.12,-11.7,-11.0,7925,10878,72.9,146802,62772,3555,4186,84.9,3116,3864,80.6,1044,2161,48.3,14,29.7,21.6,-15.7,252,657,205,64,799,626,23.19,432,59,22,61,28,24,41,1.52,21,4,0,11,2,3,530,315,265,190,75,247,512,48.2,265,340,118,222,271,801,605,7,EPL
17,Nott'ham Forest,27,6,6,15,34,49,-15,24,0.89,33.9,40.9,-7.0,-0.26,40.3,14237,1853,5363,5806,3219,537,14236,439,198,45.1,197,44.9,7116,37767,20270,400,270,104,376,203,8178,778,26.3,34,29,63,33,1,1,63,3,33.9,33.1,26.9,60.0,400,790,34,297,93,31.3,11.0,3.44,0.11,0.35,16.7,1,1,1,33.9,33.1,0.11,0.1,-0.1,8240,10982,75.0,146061,57698,3805,4454,85.4,3309,4117,80.4,893,1761,50.7,29,26.9,19.0,2.1,213,617,169,41,790,513,19.0,370,44,35,36,17,11,63,2.33,49,2,7,1,2,2,540,309,329,161,50,238,439,54.2,201,355,130,225,229,769,737,10,EPL
18,Luton Town,26,5,5,16,37,54,-17,20,0.77,31.9,52.6,-20.7,-0.8,41.4,13362,1739,4704,5302,3537,568,13358,538,255,47.4,230,42.8,6672,40843,20463,471,319,131,391,246,7220,752,27.4,34,22,56,30,4,4,49,0,31.9,28.9,22.0,50.9,471,766,34,314,89,28.3,12.08,3.42,0.1,0.34,16.3,8,4,4,31.9,28.9,0.1,2.1,1.1,7314,10148,72.1,133331,54220,3304,3869,85.4,2920,3609,80.9,856,1975,43.3,22,22.0,20.6,0.0,239,586,165,53,766,554,21.31,369,59,43,44,29,10,55,2.12,27,6,4,14,4,0,455,257,244,155,56,210,423,49.6,213,332,113,219,242,697,638,12,EPL
19,Burnley,26,3,4,19,25,58,-33,13,0.5,23.5,46.2,-22.7,-0.87,45.0,14762,2025,5629,6072,3185,472,14761,476,215,45.2,209,43.9,8226,44024,22883,432,282,135,333,198,9102,722,25.2,25,20,45,24,1,1,52,5,23.5,22.7,17.7,40.4,432,734,25,260,81,31.2,10.0,3.12,0.09,0.3,17.3,6,1,1,23.5,22.7,0.09,1.5,1.3,9203,11919,77.2,162516,54299,4117,4753,86.6,4033,4711,85.6,857,1846,46.4,20,17.7,15.0,2.3,197,590,121,26,734,458,17.62,316,55,34,30,19,4,49,1.88,38,3,6,1,1,0,420,239,194,165,61,197,403,48.9,206,331,116,215,186,606,586,13,EPL
20,Sheffield Utd,26,3,4,19,22,66,-44,13,0.5,23.7,51.5,-27.7,-1.07,36.5,12448,1905,4951,4940,2673,451,12444,402,161,40.0,205,51.0,5757,29170,13294,224,189,82,337,224,6540,574,26.6,19,10,29,15,4,4,77,4,23.7,20.7,14.2,34.8,224,579,19,233,69,29.6,8.96,2.65,0.06,0.22,18.0,5,4,4,23.7,20.7,0.09,-4.7,-5.7,6594,9363,70.4,116905,48693,3136,3732,84.0,2543,3215,79.1,721,1809,39.9,10,14.2,12.1,-4.2,158,478,135,29,579,379,14.58,267,37,22,32,15,6,28,1.08,17,1,3,4,2,1,516,296,271,177,68,212,457,46.4,245,357,120,237,235,751,729,15,EPL
1,Leverkusen,23,19,4,0,59,16,43,61,2.65,46.8,20.5,26.3,1.15,61.6,19069,1211,4255,9780,5182,767,19066,523,260,49.7,226,43.2,11149,58293,31487,627,447,174,344,231,14323,1262,26.8,57,49,106,54,3,3,44,0,46.8,44.6,37.5,82.1,627,1273,57,402,155,38.6,17.48,6.74,0.13,0.35,17.3,9,3,3,46.8,44.6,0.11,10.2,9.4,14417,16602,86.8,217039,73099,8367,9028,92.7,4817,5386,89.4,832,1334,62.4,49,37.5,43.9,11.5,331,1095,295,37,1273,730,31.74,560,49,57,33,23,8,107,4.65,77,10,11,4,5,0,314,189,125,129,60,131,282,46.5,151,234,45,189,160,474,324,8,Bundesliga
2,Bayern Munich,24,17,3,4,65,28,37,54,2.25,61.4,21.3,40.1,1.67,61.5,18935,1446,4940,8804,5374,877,18932,670,349,52.1,277,41.3,11839,67432,36289,690,518,200,334,252,14015,1363,28.1,64,51,115,61,3,3,43,2,61.4,59.2,48.2,107.4,690,1375,64,470,173,36.8,19.58,7.21,0.13,0.35,16.0,10,3,3,61.4,59.2,0.13,2.6,1.8,14102,16245,86.8,236904,76623,6677,7295,91.5,6177,6757,91.4,995,1519,65.5,51,48.2,53.5,2.8,373,1095,327,56,1375,858,35.75,645,66,48,56,28,15,113,4.71,85,8,5,9,3,3,363,216,149,143,71,169,345,49.0,176,261,44,217,217,580,329,13,Bundesliga
3,Stuttgart,24,16,2,6,55,31,24,50,2.08,51.1,25.7,25.5,1.06,59.0,18147,1623,5161,9023,4114,630,18139,493,235,47.7,209,42.4,10685,54682,27199,499,392,127,394,240,12942,1112,25.6,55,43,98,50,5,8,39,1,51.1,44.9,36.9,81.8,499,1120,55,361,140,38.8,15.04,5.83,0.14,0.36,17.4,7,5,8,51.1,44.9,0.13,3.9,5.1,13082,15439,84.7,215047,74067,6308,6906,91.3,5335,5968,89.4,978,1679,58.2,43,36.9,40.8,6.1,284,935,248,60,1120,662,27.58,510,35,44,39,22,12,100,4.17,76,2,11,6,4,1,384,229,159,176,49,179,360,49.7,181,267,84,183,202,586,454,8,Bundesliga
4,Dortmund,24,12,8,4,48,30,18,44,1.83,46.6,36.2,10.3,0.43,58.0,17268,1774,5711,7861,3858,636,17264,496,219,44.2,223,45.0,10158,56063,29114,530,402,155,385,226,11882,1027,27.7,48,36,84,44,4,4,42,2,46.6,43.4,33.7,77.2,530,1036,48,369,131,35.5,15.37,5.46,0.12,0.34,16.7,13,4,4,46.6,43.4,0.12,1.4,0.6,12013,14417,83.3,213621,72628,5242,5898,88.9,5242,5873,89.3,1213,1884,64.4,36,33.7,35.2,2.3,278,813,212,35,1036,660,27.5,473,52,41,50,33,11,83,3.46,58,5,5,5,6,4,395,258,205,152,38,204,371,55.0,167,308,81,227,185,580,475,11,Bundesliga
