Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Poss_x,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Age,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG_x,Expected_npxG_x,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_y,Expected_npxG_y,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,League
15,Bochum,24,5,10,9,29,50,-21,25,1.04,30.8,47.1,-16.2,-0.68,44.8,12800,1583,4242,5686,2992,496,12796,289,120,41.5,140,48.4,5886,30249,14595,282,199,66,372,204,6652,771,29.8,28,19,47,24,4,4,74,1,30.8,27.7,19.9,47.6,282,776,28,337,98,29.1,14.04,4.08,0.07,0.24,19.2,10,4,4,30.8,27.7,0.08,-2.8,-3.7,6737,9844,68.4,127606,58411,2878,3594,80.1,2708,3547,76.3,944,2058,45.9,19,19.9,22.3,-0.9,238,590,181,56,776,572,23.83,389,75,22,42,34,10,48,2.0,31,5,2,5,5,0,444,269,203,184,57,210,433,48.5,223,336,101,235,228,672,545,6,Bundesliga
16,Köln,23,3,8,12,16,37,-21,17,0.74,23.4,46.1,-22.7,-0.99,46.2,13538,1530,4969,5810,2931,419,13535,376,182,48.4,160,42.6,7534,40888,20382,428,311,96,331,194,8153,735,26.1,16,8,24,13,3,3,43,3,23.4,21.1,15.1,36.2,428,738,16,278,92,33.1,12.09,4.0,0.05,0.14,17.9,11,3,3,23.4,21.1,0.08,-7.4,-8.1,8271,10819,76.4,145278,53537,3552,4157,85.4,3803,4501,84.5,726,1530,47.5,8,15.1,18.0,-7.1,191,538,135,49,738,485,21.09,337,52,19,42,28,7,24,1.04,12,1,2,5,4,0,427,257,230,157,40,234,454,51.5,220,358,108,250,215,642,500,6,Bundesliga
17,Mainz 05,24,2,10,12,19,38,-19,16,0.67,27.1,28.2,-1.1,-0.05,46.4,13817,1424,4556,6198,3195,563,13813,415,185,44.6,187,45.1,6393,32528,15224,316,224,83,385,201,7815,835,27.4,18,15,33,18,0,4,71,2,27.1,23.9,18.2,42.1,316,843,18,329,88,26.7,13.71,3.67,0.05,0.2,17.9,13,0,4,27.1,23.9,0.07,-9.1,-5.9,7897,10922,72.3,146330,58724,3317,4057,81.8,3412,4314,79.1,965,1936,49.8,15,18.2,23.0,-3.2,235,674,178,53,843,568,23.67,374,72,29,45,40,8,30,1.25,20,6,2,2,0,0,395,223,176,175,44,179,373,48.0,194,315,74,241,260,655,478,3,Bundesliga
18,Darmstadt 98,24,2,7,15,24,58,-34,13,0.54,24.3,49.2,-25.0,-1.04,48.1,13890,1695,5078,6005,2908,418,13887,304,129,42.4,155,51.0,7435,38380,19656,314,223,72,316,160,8686,815,27.8,22,17,39,19,3,3,62,4,24.3,21.9,16.8,38.7,314,822,22,300,84,28.0,12.5,3.5,0.06,0.23,18.8,10,3,3,24.3,21.9,0.07,-2.3,-2.9,8755,11330,77.3,167073,63099,3496,4026,86.8,3982,4623,86.1,1113,2090,53.3,17,16.8,21.0,0.2,224,674,170,55,822,539,22.46,391,49,21,39,26,13,39,1.62,30,2,0,3,3,1,396,233,211,141,44,209,404,51.7,195,271,90,181,224,620,480,14,Bundesliga
1,Real Madrid,27,20,6,1,56,18,38,66,2.44,48.8,25.4,23.4,0.87,59.5,20349,1679,5364,9494,5679,841,20345,631,283,44.8,280,44.4,13352,71205,38696,699,590,225,362,217,15354,1434,28.0,56,43,99,55,1,4,50,4,48.8,46.0,36.8,82.7,699,1441,56,429,161,37.5,15.89,5.96,0.13,0.34,17.4,20,1,4,48.8,46.0,0.11,7.2,9.0,15460,17522,88.2,248967,79899,8266,8782,94.1,5620,6204,90.6,1163,1760,66.1,43,36.8,35.5,6.2,345,1278,293,48,1441,787,29.15,591,52,61,44,28,11,99,3.67,69,8,9,11,1,1,389,259,173,156,60,154,310,49.7,156,275,72,203,222,611,364,9,LaLiga
2,Girona,26,18,5,3,57,32,25,59,2.27,44.8,36.5,8.3,0.32,56.6,17542,1893,5798,7796,4086,652,17539,505,232,45.9,201,39.8,10977,62500,32236,604,423,149,406,256,12541,1105,26.6,57,44,101,54,3,3,53,1,44.8,42.5,35.0,77.5,604,1113,57,325,123,37.8,12.5,4.73,0.17,0.44,16.4,10,3,3,44.8,42.5,0.13,12.2,11.5,12666,14804,85.6,214355,72917,6064,6567,92.3,5238,5792,90.4,1012,1693,59.8,44,35.0,35.5,9.0,254,953,245,63,1113,592,22.77,459,46,28,28,22,9,104,4.0,84,5,6,3,5,1,390,241,176,167,47,190,371,51.2,181,268,89,179,174,564,483,13,LaLiga
3,Barcelona,26,17,6,3,56,34,22,57,2.19,58.3,28.1,30.2,1.16,64.8,19625,1487,4933,9676,5175,763,19621,556,267,48.0,211,37.9,12101,67194,38359,706,514,172,428,206,14473,1316,26.6,53,38,91,49,4,4,60,2,58.3,55.2,44.0,99.2,706,1327,53,415,157,37.8,15.96,6.04,0.12,0.31,15.9,13,4,4,58.3,55.2,0.14,-5.3,-6.2,14612,16872,86.6,242908,77066,7315,7943,92.1,5865,6483,90.5,1130,1721,65.7,38,44.0,44.1,-6.0,324,1211,301,64,1327,749,28.81,564,53,46,50,27,9,97,3.73,76,3,5,7,5,1,400,257,189,161,50,165,345,47.8,180,263,67,196,169,569,391,12,LaLiga
4,Atlético Madrid,26,16,4,6,52,28,24,52,2.0,45.3,27.9,17.4,0.67,51.6,17377,1653,5449,8069,3994,659,17373,404,219,54.2,157,38.9,10364,52343,27422,530,388,123,378,218,11974,1118,29.8,52,38,90,48,4,4,57,3,45.3,42.3,35.6,78.0,530,1130,52,324,140,43.2,12.46,5.38,0.15,0.34,15.7,9,4,4,45.3,42.3,0.13,6.7,5.7,12059,14565,82.8,196318,70371,6226,6866,90.7,4439,5112,86.8,979,1690,57.9,38,35.6,32.8,2.4,244,870,272,54,1130,593,22.81,457,41,41,23,22,9,95,3.65,76,2,9,3,4,1,454,278,208,187,59,227,466,48.7,239,326,89,237,181,635,544,6,LaLiga
5,Athletic Club,26,14,7,5,46,26,20,49,1.88,41.3,25.7,15.6,0.6,50.2,15460,1313,4368,7118,4140,640,15455,488,228,46.7,225,46.1,8372,44281,22953,500,361,141,381,259,9578,1061,28.0,45,31,76,42,3,5,57,3,41.3,37.3,28.2,65.5,500,1068,45,332,123,37.0,12.77,4.73,0.13,0.34,15.4,4,3,5,41.3,37.3,0.11,3.7,4.7,9683,12624,76.7,171908,66109,4369,5079,86.0,4146,4912,84.4,945,1944,48.6,31,28.2,29.1,2.8,259,797,225,82,1068,593,22.81,440,56,40,25,22,10,79,3.04,62,5,4,3,4,1,405,252,151,190,64,215,450,47.8,235,276,57,219,193,598,433,1,LaLiga
6,Betis,26,10,12,4,31,26,5,42,1.62,31.0,32.7,-1.7,-0.07,50.0,15778,1633,5165,7001,3775,604,15777,576,276,47.9,246,42.7,8870,48695,24174,481,355,131,426,286,10178,963,28.4,30,21,51,29,1,1,60,2,31.0,30.2,24.1,54.4,481,973,30,347,97,28.0,13.35,3.73,0.08,0.3,17.1,10,1,1,31.0,30.2,0.09,-1.0,-1.2,10256,12705,80.7,172387,64448,4970,5550,89.5,3967,4611,86.0,932,1722,54.1,21,24.1,25.0,-3.1,262,700,220,38,973,613,23.58,449,53,36,45,20,10,51,1.96,36,2,3,6,2,2,459,295,197,205,57,243,475,51.2,232,312,76,236,231,690,580,2,LaLiga
7,Real Sociedad,27,10,10,7,37,29,8,40,1.48,33.2,28.7,4.5,0.17,55.8,16519,1587,4868,7957,3840,550,16515,507,240,47.3,210,41.4,9293,51870,26777,511,345,127,439,263,10560,1012,26.3,35,25,60,31,4,4,72,1,33.2,30.0,21.9,51.9,511,1024,35,339,104,30.7,12.56,3.85,0.09,0.3,18.0,20,4,4,33.2,30.0,0.09,1.8,1.0,10682,13546,78.9,193316,66018,4518,5217,86.6,4841,5649,85.7,1101,1983,55.5,25,21.9,24.0,3.1,234,820,170,48,1024,570,21.11,386,55,40,46,29,14,55,2.04,36,2,5,8,3,1,464,293,200,200,64,209,406,51.5,197,297,88,209,188,652,504,12,LaLiga
8,Las Palmas,27,10,7,10,29,29,0,37,1.37,23.1,39.4,-16.3,-0.6,59.8,19497,1950,6649,9234,3751,442,19493,458,221,48.3,198,43.2,10969,49461,25123,404,308,81,482,252,13660,1134,26.2,29,20,49,26,3,4,65,3,23.1,20.0,15.8,35.8,404,1152,29,272,86,31.6,10.07,3.19,0.1,0.3,20.5,14,3,4,23.1,20.0,0.07,5.9,6.0,13776,16450,83.7,217263,80699,7306,8025,91.0,5271,5942,88.7,849,1666,51.0,20,15.8,21.2,4.2,212,954,204,40,1152,493,18.26,405,24,21,17,20,6,53,1.96,45,2,1,1,3,1,485,294,238,192,55,227,477,47.6,250,297,78,219,209,694,597,12,LaLiga
9,Valencia,26,10,7,9,31,31,0,37,1.42,27.6,30.8,-3.2,-0.12,43.7,13831,1478,4764,6255,2967,364,13826,439,194,44.2,196,44.6,7653,39137,19386,349,284,80,393,236,8311,783,24.7,31,22,53,27,4,5,50,4,27.6,23.7,17.9,41.6,349,782,31,246,84,34.1,9.46,3.23,0.11,0.32,19.3,14,4,5,27.6,23.7,0.1,3.4,3.3,8368,11053,75.7,149830,54745,3674,4337,84.7,3596,4229,85.0,853,1818,46.9,22,17.9,15.8,4.1,176,627,132,47,782,440,16.92,321,41,24,17,28,9,51,1.96,39,2,5,3,2,0,457,277,225,175,57,220,437,50.3,217,246,54,192,218,675,552,7,LaLiga
10,Getafe,27,8,11,8,36,41,-5,35,1.3,32.3,39.8,-7.5,-0.28,43.0,13313,1444,3840,6114,3496,489,13307,369,151,40.9,177,48.0,6318,32935,16377,305,266,93,401,195,7097,778,28.3,36,23,59,30,6,6,101,9,32.3,27.6,17.8,45.4,305,793,36,304,105,34.5,11.26,3.89,0.1,0.29,18.1,5,6,6,32.3,27.6,0.09,3.7,2.4,7178,10459,68.6,138967,58387,3188,3836,83.1,2636,3523,74.8,1130,2435,46.4,23,17.8,18.7,5.2,213,738,146,73,793,514,19.04,356,63,27,34,25,9,60,2.22,34,8,7,7,4,0,402,243,184,165,53,196,399,49.1,203,244,81,163,234,636,527,6,LaLiga
11,Osasuna,26,9,6,11,30,37,-7,33,1.27,29.4,33.2,-3.8,-0.15,48.1,14607,1433,4258,6618,3863,512,14603,359,159,44.3,164,45.7,7310,37420,18142,343,274,68,390,182,8716,914,28.6,30,19,49,26,4,4,55,4,29.4,26.3,20.7,46.9,343,925,30,292,85,29.1,11.23,3.27,0.09,0.31,17.8,11,4,4,29.4,26.3,0.09,0.6,-0.3,8817,11941,73.8,166965,66566,3805,4466,85.2,3702,4566,81.1,1143,2263,50.5,19,20.7,23.3,-1.7,205,815,183,73,925,493,18.96,346,60,16,32,33,6,48,1.85,26,6,3,8,5,0,355,219,167,140,48,157,351,44.7,194,273,75,198,184,539,546,11,LaLiga
12,Alavés,26,7,8,11,25,32,-7,29,1.12,32.4,31.4,1.0,0.04,42.5,12634,1487,4150,5328,3312,530,12629,446,231,51.8,170,38.1,6109,34540,18684,409,269,103,375,210,7022,897,26.5,22,18,40,19,3,5,53,1,32.4,28.5,21.4,49.9,409,903,22,327,85,26.0,12.58,3.27,0.06,0.22,17.6,14,3,5,32.4,28.5,0.09,-10.4,-9.5,7106,9869,72.0,133206,56944,3183,3770,84.4,2806,3533,79.4,935,1940,48.2,18,21.4,20.7,-3.4,236,668,185,75,903,588,22.62,406,56,45,40,32,9,40,1.54,29,1,4,3,3,0,383,237,182,157,44,191,414,46.1,223,240,71,169,182,565,567,3,LaLiga
13,Villarreal,26,7,8,11,38,48,-10,29,1.12,36.6,42.0,-5.5,-0.21,50.5,15544,1959,5461,6632,3593,571,15540,514,246,47.9,238,46.3,8380,46359,23217,422,339,126,393,241,10223,1033,28.4,38,26,64,34,4,4,75,4,36.6,33.4,26.5,59.9,422,1041,38,304,107,35.2,11.69,4.12,0.11,0.32,16.0,7,4,4,36.6,33.4,0.11,1.4,0.6,10345,12656,81.7,185501,69275,4627,5161,89.7,4545,5167,88.0,1012,1762,57.4,26,26.5,26.4,-0.5,240,798,219,55,1041,560,21.54,410,49,35,37,19,10,65,2.5,42,6,4,7,5,1,400,245,197,157,46,189,394,48.0,205,277,97,180,209,609,581,11,LaLiga
14,Sevilla,27,6,9,12,33,40,-7,27,1.0,28.5,39.2,-10.7,-0.4,51.6,16386,1542,5159,7145,4245,518,16385,447,210,47.0,191,42.7,8853,47009,23960,445,344,101,438,209,10328,1056,29.4,31,20,51,30,1,1,74,4,28.5,27.7,20.2,47.9,445,1092,31,360,118,32.8,13.33,4.37,0.08,0.25,17.3,13,1,1,28.5,27.7,0.07,2.5,2.3,10485,13378,78.4,189939,69339,4733,5373,88.1,4322,5090,84.9,1179,2207,53.4,20,20.2,23.6,-0.2,259,878,212,104,1092,633,23.44,468,67,25,28,38,7,51,1.89,36,5,4,3,2,1,497,326,270,166,61,237,443,53.5,206,280,82,198,224,721,517,4,LaLiga
15,Rayo Vallecano,27,5,11,11,23,37,-14,26,0.96,31.1,35.6,-4.5,-0.17,48.6,15308,1668,5135,6927,3393,466,15302,456,191,41.9,218,47.8,7684,39177,18338,330,251,77,446,273,9175,922,30.3,23,11,34,17,6,6,78,4,31.1,26.4,17.2,43.6,330,926,23,324,111,34.3,12.0,4.11,0.05,0.15,20.7,28,6,6,31.1,26.4,0.08,-8.1,-9.4,9258,12238,75.6,170649,66577,4017,4629,86.8,3934,4707,83.6,1080,2230,48.4,11,17.2,17.6,-6.2,213,743,175,56,926,543,20.11,371,51,21,39,46,15,34,1.26,20,2,3,4,4,1,425,242,187,197,41,185,420,44.0,235,282,66,216,225,650,609,9,LaLiga
16,Mallorca,26,4,12,10,23,34,-11,24,0.92,28.1,32.3,-4.1,-0.16,44.2,13176,1555,4504,5833,2987,453,13173,352,173,49.1,143,40.6,6516,34973,17153,328,255,70,414,209,7333,723,29.2,23,18,41,22,1,3,76,4,28.1,25.8,21.2,47.1,328,738,23,276,85,30.8,10.62,3.27,0.08,0.26,16.9,3,1,3,28.1,25.8,0.1,-5.1,-3.8,7414,10295,72.0,142040,59346,3215,3810,84.4,2959,3733,79.3,1049,2114,49.6,18,21.2,20.4,-3.2,209,612,152,61,738,484,18.62,322,71,24,32,27,8,40,1.54,26,8,1,4,1,0,478,274,243,197,38,234,462,50.6,228,260,90,170,234,712,537,8,LaLiga
17,Celta Vigo,27,5,9,13,30,39,-9,24,0.89,33.5,38.2,-4.7,-0.18,44.1,14857,1607,4816,6460,3749,565,14854,459,217,47.3,197,42.9,8009,41569,21078,448,332,109,423,229,8707,879,27.4,29,21,50,28,1,3,48,5,33.5,31.2,23.7,54.9,448,892,29,334,107,32.0,12.37,3.96,0.08,0.26,17.7,13,1,3,33.5,31.2,0.1,-4.5,-3.2,8792,11711,75.1,151097,62338,4245,4927,86.2,3447,4206,82.0,837,1808,46.3,21,23.7,25.7,-2.7,252,730,186,51,892,604,22.37,440,56,35,32,34,7,50,1.85,38,2,2,4,4,0,439,264,204,181,54,216,462,46.8,246,318,82,236,228,667,645,4,LaLiga
18,Cádiz,27,2,13,12,18,38,-20,19,0.7,23.6,37.6,-14.0,-0.52,42.5,13115,1648,4487,5753,3001,379,13113,363,149,41.0,175,48.2,6249,33938,16371,296,273,38,413,230,7041,654,29.2,18,11,29,16,2,2,79,6,23.6,22.1,15.3,37.4,296,668,18,266,79,29.7,9.85,2.93,0.06,0.2,18.2,19,2,2,23.6,22.1,0.08,-5.6,-6.1,7112,10154,70.0,138769,60558,3054,3636,84.0,2791,3538,78.9,1060,2334,45.4,11,15.3,17.5,-4.3,185,602,143,80,668,460,17.04,301,62,15,35,36,11,27,1.0,16,3,0,4,3,1,455,267,231,175,49,214,481,44.5,267,318,93,225,212,667,584,7,LaLiga
19,Granada,25,2,8,15,27,49,-22,14,0.56,29.2,42.0,-12.8,-0.51,46.4,13524,1633,5360,5742,2584,450,13519,485,225,46.4,219,45.2,7529,40023,19940,362,272,80,368,190,8204,665,27.4,25,22,47,22,3,5,65,3,29.2,25.3,21.9,47.2,362,677,25,267,91,34.1,10.68,3.64,0.08,0.24,17.0,10,3,5,29.2,25.3,0.1,-4.2,-3.3,8285,10803,76.7,151893,58147,3709,4204,88.2,3459,4109,84.2,959,1933,49.6,22,21.9,20.9,0.1,200,529,169,64,677,475,19.0,308,52,41,33,31,10,46,1.84,33,3,3,1,4,2,399,233,206,155,38,178,388,45.9,210,260,74,186,156,555,510,20,LaLiga
20,Almería,27,0,9,18,25,55,-30,9,0.33,33.6,45.2,-11.6,-0.43,46.4,14618,1841,5364,6474,2941,444,14617,486,212,43.6,237,48.8,7876,42548,21670,418,296,88,377,185,8703,775,26.0,25,16,41,24,1,1,67,4,33.6,32.8,24.6,57.3,418,790,25,331,108,32.6,12.26,4.0,0.07,0.22,18.9,14,1,1,33.6,32.8,0.1,-8.6,-8.8,8784,11546,76.1,159998,60260,3719,4325,86.0,3873,4561,84.9,959,1995,48.1,16,24.6,18.3,-8.6,236,621,154,63,790,557,20.63,388,49,33,37,36,14,40,1.48,22,3,6,5,3,1,469,269,269,158,42,205,426,48.1,221,308,100,208,209,678,586,9,LaLiga
1,Inter,26,22,3,1,67,12,55,69,2.65,56.2,20.2,36.0,1.39,56.1,17437,1682,5469,7833,4255,723,17427,315,141,44.8,140,44.4,10467,49798,25215,498,381,127,321,157,12523,1104,29.8,65,47,112,56,9,10,35,0,56.2,48.4,40.4,88.8,498,1117,65,398,134,33.7,15.31,5.15,0.14,0.42,16.5,13,9,10,56.2,48.4,0.12,8.8,7.6,12623,14945,84.5,219340,73610,5727,6294,91.0,5292,5945,89.0,1237,1910,64.8,47,40.4,36.4,6.6,302,868,295,84,1117,724,27.85,553,64,16,45,33,13,113,4.35,79,7,7,7,9,4,385,236,172,164,49,159,329,48.3,170,235,71,164,197,582,391,3,SerieA
2,Juventus,26,17,6,3,41,19,22,57,2.19,39.9,18.1,21.7,0.84,48.8,15374,1520,4605,7167,3728,619,15369,413,180,43.6,184,44.6,8783,47519,24784,483,351,130,380,201,10167,972,27.3,40,31,71,37,3,5,60,1,39.9,35.8,28.7,64.5,483,987,40,361,98,27.1,13.88,3.77,0.1,0.38,16.7,11,3,5,39.9,35.8,0.11,0.1,1.2,10282,12603,81.6,190984,65166,4214,4755,88.6,4663,5314,87.7,1228,1966,62.5,31,28.7,26.0,2.3,283,809,198,69,987,628,24.15,445,64,30,51,27,11,67,2.58,42,4,3,12,4,2,389,247,189,158,42,181,310,58.4,129,252,82,170,179,568,521,2,SerieA
3,Milan,27,17,5,5,51,32,19,56,2.07,41.8,33.1,8.7,0.32,55.9,17283,1735,5476,8160,3793,602,17276,523,245,46.8,213,40.7,10887,62888,33494,622,440,145,385,208,12188,1061,27.3,51,39,90,46,5,7,65,6,41.8,36.4,28.4,64.8,622,1068,51,363,130,35.8,13.44,4.81,0.13,0.35,17.1,5,5,7,41.8,36.4,0.1,9.2,9.6,12335,14566,84.7,212288,71464,5511,6093,90.4,5507,6085,90.5,1008,1678,60.1,39,28.4,27.2,10.6,280,843,221,67,1068,665,24.63,494,51,45,44,23,8,95,3.52,72,3,10,6,3,1,408,237,202,156,50,195,382,51.0,187,279,112,167,185,593,409,12,SerieA
4,Bologna,26,13,9,4,39,23,16,48,1.85,32.4,25.3,7.1,0.27,57.5,17982,1858,6082,8525,3534,492,17978,476,203,42.6,233,48.9,10697,57232,28327,448,304,99,371,187,12739,969,25.9,37,23,60,34,3,4,62,1,32.4,29.2,20.5,49.7,448,978,37,317,109,34.4,12.19,4.19,0.11,0.31,17.8,12,3,4,32.4,29.2,0.09,4.6,4.8,12850,15226,84.4,212346,68681,6294,6901,91.2,5233,5830,89.8,934,1637,57.1,23,20.5,16.2,2.5,235,838,175,42,978,556,21.38,415,40,42,33,21,5,57,2.19,38,1,7,7,4,0,442,266,214,192,36,213,410,52.0,197,276,76,200,177,619,475,10,SerieA
5,Roma,27,14,5,8,52,33,19,47,1.74,37.9,25.2,12.7,0.47,53.8,16724,1675,5300,8036,3511,548,16714,338,151,44.7,155,45.9,10015,51309,26193,469,363,119,303,191,11795,978,28.7,51,36,87,42,9,10,69,2,37.9,30.4,25.2,55.6,469,983,51,314,98,31.2,11.63,3.63,0.13,0.43,17.6,13,9,10,37.9,30.4,0.1,13.1,11.6,11874,14335,82.8,205543,68903,5405,5966,90.6,5152,5846,88.1,1050,1832,57.3,36,25.2,22.6,10.8,245,813,206,50,983,588,21.78,421,55,29,42,36,5,89,3.3,54,6,9,11,9,0,401,236,186,162,53,176,381,46.2,205,256,84,172,167,568,425,8,SerieA
6,Atalanta,26,14,4,8,48,28,20,46,1.77,39.2,27.9,11.2,0.43,50.0,16374,1581,5322,7108,4081,619,16371,408,197,48.3,168,41.2,9175,47515,23171,487,334,109,432,258,10753,1162,27.0,48,38,86,45,3,3,58,1,39.2,36.8,29.0,65.9,487,1177,48,369,136,36.9,14.19,5.23,0.12,0.33,15.8,5,3,3,39.2,36.8,0.1,8.8,8.2,10839,13518,80.2,190280,67816,4898,5600,87.5,4648,5346,86.9,1038,1853,56.0,38,29.0,26.0,9.0,288,815,252,82,1177,658,25.31,489,59,37,40,26,7,86,3.31,71,6,1,5,3,0,418,258,191,164,63,196,402,48.8,206,336,80,256,241,659,425,6,SerieA
7,Fiorentina,27,12,6,9,39,30,9,42,1.56,33.9,33.5,0.3,0.01,57.3,17030,1477,4791,7839,4553,630,17024,448,195,43.5,201,44.9,10220,54052,25670,443,406,109,391,235,11436,1181,27.7,38,23,61,35,3,6,59,0,33.9,29.1,21.5,50.7,443,1189,38,356,112,31.5,13.19,4.15,0.1,0.31,17.8,7,3,6,33.9,29.1,0.08,4.1,5.9,11570,14344,80.7,219928,73848,4543,5138,88.4,5312,6084,87.3,1479,2428,60.9,23,21.5,26.0,1.5,273,952,255,65,1189,635,23.52,476,55,23,43,30,8,66,2.44,41,9,5,8,3,0,433,246,180,177,76,211,388,54.4,177,313,68,245,165,598,361,7,SerieA
8,Lazio,27,12,4,11,32,29,3,40,1.48,31.1,30.3,0.8,0.03,51.0,17240,1696,5405,8394,3608,523,17236,454,199,43.8,207,45.6,9141,50533,26476,522,354,100,366,178,11910,1017,28.9,30,20,50,26,4,4,71,5,31.1,28.0,20.6,48.6,522,1021,30,286,86,30.1,10.59,3.19,0.09,0.3,18.1,9,4,4,31.1,28.0,0.1,-1.1,-2.0,11991,14517,82.6,200496,70425,5823,6424,90.6,4681,5386,86.9,1107,1873,59.1,20,20.6,20.0,-0.6,217,846,208,45,1021,496,18.37,376,35,24,32,24,5,50,1.85,39,0,1,5,4,1,412,247,179,180,53,201,448,44.9,247,312,94,218,201,613,467,6,SerieA
9,Napoli,26,11,7,8,40,30,10,40,1.54,41.9,24.9,17.0,0.65,61.2,18486,1422,4988,8876,4786,715,18479,516,228,44.2,235,45.5,10979,58471,28991,545,433,137,341,211,13405,1205,27.8,39,28,67,34,5,7,59,4,41.9,36.4,29.9,66.3,545,1214,39,433,132,30.5,16.65,5.08,0.08,0.26,17.8,14,5,7,41.9,36.4,0.09,-2.9,-2.4,13518,15869,85.2,230563,74096,6380,6931,92.1,5557,6250,88.9,1234,1949,63.3,28,29.9,26.9,-1.9,340,1029,275,52,1214,778,29.92,574,61,47,50,35,11,64,2.46,45,2,6,2,7,2,397,226,171,159,67,188,401,46.9,213,221,57,164,161,558,391,1,SerieA
10,Torino,27,9,10,8,25,25,0,37,1.37,27.5,24.9,2.6,0.1,51.9,15635,1595,4825,7298,3669,506,15634,412,181,43.9,178,43.2,9242,50883,24641,539,359,103,403,190,10154,976,27.0,24,20,44,23,1,1,59,1,27.5,26.7,22.0,48.8,539,992,24,306,88,28.8,11.33,3.26,0.08,0.26,17.0,10,1,1,27.5,26.7,0.09,-3.5,-3.7,10307,12997,79.3,180851,63556,4578,5197,88.1,4490,5235,85.8,946,1849,51.2,20,22.0,22.0,-2.0,232,756,201,67,992,532,19.7,385,55,26,30,27,9,43,1.59,30,3,3,3,2,2,328,209,132,164,32,122,260,46.9,138,213,68,145,232,560,412,9,SerieA
11,Monza,27,9,9,9,28,34,-6,36,1.33,28.9,38.6,-9.8,-0.36,54.4,17155,1975,5869,7758,3668,542,17151,323,138,42.7,147,45.5,10827,58764,30018,534,412,133,376,184,12138,938,27.4,27,22,49,24,3,4,63,3,28.9,26.1,20.6,46.7,534,948,27,333,94,28.2,12.33,3.48,0.07,0.26,18.1,10,3,4,28.9,26.1,0.08,-1.9,-2.1,12261,14520,84.4,225150,69544,5027,5513,91.2,5793,6407,90.4,1255,2022,62.1,22,20.6,20.5,1.4,261,803,189,59,948,592,21.93,452,54,18,37,22,9,49,1.81,37,3,4,2,3,0,420,242,223,152,45,194,344,56.4,150,273,108,165,204,624,432,4,SerieA
12,Genoa,26,8,9,9,28,31,-3,33,1.27,22.1,26.3,-4.2,-0.16,43.8,13549,1710,4970,5815,2882,396,13547,310,133,42.9,141,45.5,7298,37634,18003,313,236,58,384,194,8056,722,27.4,28,20,48,26,2,2,65,3,22.1,20.6,16.3,36.9,313,735,28,276,84,30.4,10.62,3.23,0.09,0.31,17.6,17,2,2,22.1,20.6,0.08,5.9,5.4,8149,10754,75.8,148375,59017,3495,4065,86.0,3462,4130,83.8,922,1867,49.4,20,16.3,17.2,3.7,211,594,141,45,735,493,18.96,314,74,18,43,40,4,50,1.92,35,3,5,6,1,0,437,250,217,174,46,214,412,51.9,198,322,101,221,235,672,540,11,SerieA
